EmployeeNumber,Age,Gender,Department,JobRole,BusinessTravel,EducationField,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,Attrition,Age_Group,Salary_Category,Attrition_Flag
558,40,Female,Sales,Manager,Travel_Rarely,"Life Sciences",18041,20,1,12,3,3,3,No,30-40,"High Salary",0
560,26,Female,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2886,3,0,2,4,1,1,No,"Under 30","Low Salary",0
562,30,Male,"Research & Development","Laboratory Technician",Non-Travel,"Life Sciences",2097,5,1,4,4,3,1,No,30-40,"Low Salary",0
564,29,Male,"Research & Development","Research Director",Travel_Rarely,Medical,11935,10,0,7,3,2,3,No,"Under 30","High Salary",0
565,29,Female,"Research & Development","Research Scientist",Travel_Rarely,"Technical Degree",2546,2,1,1,2,3,4,Yes,"Under 30","Low Salary",1
566,19,Male,"Human Resources","Human Resources",Travel_Rarely,"Technical Degree",2564,1,0,0,4,1,4,Yes,"Under 30","Low Salary",1
567,30,Female,Sales,"Sales Executive",Non-Travel,Other,8412,9,7,8,1,3,3,No,30-40,"Medium Salary",0
568,57,Male,Sales,Manager,Travel_Rarely,Marketing,14118,1,0,0,4,1,2,No,40+,"High Salary",0
569,50,Male,"Research & Development",Manager,Travel_Rarely,"Life Sciences",17046,27,15,7,3,2,3,No,40+,"High Salary",0
571,30,Female,"Research & Development","Laboratory Technician",Non-Travel,Medical,2564,11,6,7,4,3,2,No,30-40,"Low Salary",0
573,60,Female,Sales,"Sales Executive",Travel_Frequently,Marketing,10266,18,13,11,1,3,4,No,40+,"High Salary",0
574,47,Female,"Research & Development","Manufacturing Director",Travel_Rarely,Medical,5070,5,0,4,4,1,3,No,40+,"Medium Salary",0
575,46,Male,"Research & Development","Research Director",Travel_Rarely,"Life Sciences",17861,3,0,1,3,1,1,No,40+,"High Salary",0
577,35,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",4230,5,4,3,3,4,3,No,30-40,"Low Salary",0
578,54,Female,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",3780,1,0,0,3,3,3,No,40+,"Low Salary",0
579,34,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2768,7,5,7,3,4,3,No,30-40,"Low Salary",0
580,46,Female,Sales,"Sales Executive",Travel_Rarely,Marketing,9071,3,1,2,4,3,3,No,40+,"Medium Salary",0
581,31,Male,"Research & Development","Manufacturing Director",Travel_Rarely,"Life Sciences",10648,13,0,8,2,3,4,No,30-40,"High Salary",0
582,33,Male,"Research & Development",Manager,Travel_Rarely,Medical,13610,7,7,7,3,2,4,Yes,30-40,"High Salary",1
584,33,Male,"Research & Development","Laboratory Technician",Travel_Rarely,Medical,3408,4,1,3,4,1,3,Yes,30-40,"Low Salary",1
585,30,Male,Sales,"Sales Representative",Travel_Rarely,Marketing,2983,3,1,2,2,4,3,No,30-40,"Low Salary",0
586,35,Male,"Research & Development","Healthcare Representative",Travel_Rarely,"Life Sciences",7632,8,0,0,3,4,3,No,30-40,"Medium Salary",0
587,31,Male,"Research & Development","Healthcare Representative",Travel_Frequently,"Life Sciences",9824,1,0,0,3,1,3,Yes,30-40,"Medium Salary",1
590,34,Female,"Human Resources","Human Resources",Travel_Frequently,"Human Resources",9950,3,0,2,1,2,3,Yes,30-40,"Medium Salary",1
591,42,Male,"Research & Development","Laboratory Technician",Travel_Frequently,Other,2093,2,2,0,3,2,3,No,40+,"Low Salary",0
592,36,Male,Sales,"Sales Executive",Non-Travel,Medical,9980,10,9,7,4,2,2,No,30-40,"Medium Salary",0
593,22,Male,"Research & Development","Laboratory Technician",Travel_Frequently,"Technical Degree",3894,2,1,2,3,3,3,Yes,"Under 30","Low Salary",1
595,48,Female,Sales,"Sales Executive",Travel_Rarely,Marketing,4051,9,6,7,4,2,3,No,40+,"Low Salary",0
597,55,Female,Sales,Manager,Travel_Rarely,"Life Sciences",16835,10,7,7,2,1,3,No,40+,"High Salary",0
599,41,Male,Sales,"Sales Executive",Non-Travel,"Life Sciences",6230,14,1,10,4,4,3,No,40+,"Medium Salary",0
600,35,Male,Sales,"Sales Executive",Travel_Rarely,Marketing,4717,11,6,9,3,2,3,No,30-40,"Low Salary",0
601,40,Female,"Research & Development","Manufacturing Director",Travel_Rarely,"Life Sciences",13237,20,5,13,3,2,3,No,30-40,"High Salary",0
602,39,Female,"Research & Development","Laboratory Technician",Travel_Frequently,"Life Sciences",3755,8,0,7,3,3,3,No,30-40,"Low Salary",0
604,31,Male,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",6582,6,0,5,4,2,4,No,30-40,"Medium Salary",0
605,42,Male,"Research & Development","Manufacturing Director",Travel_Rarely,Medical,7406,10,5,8,1,4,2,No,40+,"Medium Salary",0
606,45,Male,Sales,"Sales Executive",Travel_Rarely,Other,4805,8,3,7,2,4,4,No,40+,"Low Salary",0
608,26,Female,"Human Resources","Human Resources",Travel_Frequently,"Life Sciences",2741,7,1,0,3,2,2,Yes,"Under 30","Low Salary",1
611,29,Male,"Research & Development","Manufacturing Director",Travel_Rarely,"Technical Degree",4262,3,1,2,4,4,4,No,"Under 30","Low Salary",0
612,33,Female,"Research & Development","Research Director",Travel_Rarely,Medical,16184,6,0,5,3,1,3,No,30-40,"High Salary",0
613,31,Male,Sales,Manager,Travel_Rarely,"Life Sciences",11557,5,0,1,4,3,2,No,30-40,"High Salary",0
614,18,Male,Sales,"Sales Representative",Travel_Frequently,Marketing,1878,0,0,0,2,2,3,Yes,"Under 30","Low Salary",1
615,40,Male,Sales,"Sales Executive",Non-Travel,Other,10932,1,0,1,1,3,3,No,30-40,"High Salary",0
616,41,Female,"Research & Development","Healthcare Representative",Non-Travel,Other,6811,8,0,7,3,1,3,No,40+,"Medium Salary",0
618,26,Male,Sales,"Sales Executive",Travel_Rarely,Medical,4306,0,0,0,3,1,3,No,"Under 30","Low Salary",0
620,35,Female,Sales,"Sales Executive",Travel_Rarely,Medical,4859,5,0,3,3,1,3,No,30-40,"Low Salary",0
621,34,Male,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",5337,10,5,7,4,4,3,No,30-40,"Medium Salary",0
622,26,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Technical Degree",2340,1,0,0,4,3,1,Yes,"Under 30","Low Salary",1
623,37,Female,"Research & Development","Manufacturing Director",Travel_Rarely,"Technical Degree",7491,6,1,2,4,2,4,No,30-40,"Medium Salary",0
624,46,Female,"Research & Development","Healthcare Representative",Travel_Frequently,Medical,10527,2,1,2,3,1,2,No,40+,"High Salary",0
625,41,Female,Sales,Manager,Travel_Rarely,"Life Sciences",16595,18,11,8,1,2,3,No,40+,"High Salary",0
626,37,Male,Sales,"Sales Executive",Non-Travel,Medical,8834,9,7,7,2,1,3,No,30-40,"Medium Salary",0
630,52,Male,"Research & Development","Research Scientist",Travel_Rarely,"Technical Degree",5577,10,6,9,1,4,3,No,40+,"Medium Salary",0
631,32,Male,Sales,"Sales Executive",Non-Travel,Other,4707,4,1,2,3,4,3,Yes,30-40,"Low Salary",1
632,24,Male,Sales,"Sales Representative",Travel_Frequently,Medical,2400,2,2,1,4,4,3,No,"Under 30","Low Salary",0
634,38,Female,"Research & Development","Healthcare Representative",Travel_Rarely,Medical,9824,1,0,0,3,3,3,No,30-40,"Medium Salary",0
635,37,Female,"Research & Development","Manufacturing Director",Travel_Rarely,"Life Sciences",6447,6,4,3,2,2,2,No,30-40,"Medium Salary",0
638,49,Male,"Research & Development","Research Director",Travel_Rarely,"Life Sciences",19502,31,0,9,3,4,3,No,40+,"High Salary",0
639,24,Male,"Research & Development","Research Scientist",Travel_Rarely,Medical,2725,6,1,4,4,2,3,No,"Under 30","Low Salary",0
641,26,Male,Sales,"Sales Executive",Travel_Rarely,Marketing,6272,5,1,4,2,1,4,No,"Under 30","Medium Salary",0
643,24,Male,"Research & Development","Laboratory Technician",Travel_Rarely,Other,2127,1,0,0,2,4,3,No,"Under 30","Low Salary",0
644,50,Male,"Human Resources",Manager,Travel_Frequently,Medical,18200,32,10,7,2,1,3,No,40+,"High Salary",0
645,25,Male,Sales,"Sales Representative",Travel_Rarely,Medical,2096,7,0,6,3,2,3,No,"Under 30","Low Salary",0
647,24,Female,"Research & Development","Laboratory Technician",Travel_Frequently,"Life Sciences",2886,6,1,2,3,1,3,Yes,"Under 30","Low Salary",1
648,30,Male,Sales,"Sales Representative",Travel_Frequently,"Life Sciences",2033,1,0,0,1,2,4,Yes,30-40,"Low Salary",1
649,34,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",3622,6,1,3,4,2,3,No,30-40,"Low Salary",0
650,31,Male,Sales,"Sales Executive",Travel_Rarely,Medical,4233,3,1,2,1,2,1,Yes,30-40,"Low Salary",1
652,35,Male,"Research & Development","Laboratory Technician",Travel_Rarely,Other,3681,3,0,2,4,1,3,No,30-40,"Low Salary",0
653,31,Male,Sales,"Sales Executive",Travel_Rarely,Medical,5460,7,5,7,4,1,4,No,30-40,"Medium Salary",0
655,27,Female,"Research & Development","Research Scientist",Travel_Rarely,Medical,2187,5,0,3,3,1,2,No,"Under 30","Low Salary",0
656,37,Male,Sales,"Sales Executive",Travel_Rarely,Marketing,9602,3,1,0,3,4,2,No,30-40,"Medium Salary",0
657,20,Female,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2836,1,0,0,2,4,4,No,"Under 30","Low Salary",0
659,42,Female,"Research & Development","Healthcare Representative",Travel_Rarely,"Life Sciences",4089,10,2,2,4,3,3,No,40+,"Low Salary",0
661,43,Male,"Research & Development","Research Director",Travel_Rarely,Other,16627,1,0,0,4,2,2,No,40+,"High Salary",0
662,38,Female,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2619,0,0,0,1,3,2,No,30-40,"Low Salary",0
663,43,Male,"Research & Development","Laboratory Technician",Travel_Frequently,Medical,5679,8,4,7,3,4,3,No,40+,"Medium Salary",0
664,48,Female,"Research & Development",Manager,Travel_Rarely,"Life Sciences",15402,3,0,2,1,4,1,No,40+,"High Salary",0
665,44,Female,"Human Resources","Human Resources",Travel_Rarely,"Life Sciences",5985,2,0,2,3,1,4,No,40+,"Medium Salary",0
666,34,Female,Sales,"Sales Representative",Travel_Rarely,"Technical Degree",2579,8,0,6,3,3,3,No,30-40,"Low Salary",0
667,27,Male,Sales,"Sales Representative",Travel_Rarely,Marketing,3041,4,0,2,1,3,3,Yes,"Under 30","Low Salary",1
669,21,Male,Sales,"Sales Representative",Travel_Rarely,"Technical Degree",3447,3,1,2,3,3,3,No,"Under 30","Low Salary",0
671,44,Male,"Research & Development",Manager,Travel_Rarely,Other,19513,2,0,1,4,4,4,No,40+,"High Salary",0
675,22,Male,"Research & Development","Research Scientist",Travel_Rarely,Medical,2773,2,2,2,3,1,3,No,"Under 30","Low Salary",0
677,33,Male,Sales,"Sales Executive",Travel_Rarely,Marketing,7104,5,1,2,3,3,3,No,30-40,"Medium Salary",0
679,32,Female,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",6322,6,0,5,4,1,2,No,30-40,"Medium Salary",0
680,30,Female,"Research & Development","Research Scientist",Travel_Frequently,Medical,2083,1,0,0,3,3,3,No,30-40,"Low Salary",0
682,53,Female,Sales,"Sales Executive",Travel_Rarely,Medical,8381,14,8,10,1,4,4,No,40+,"Medium Salary",0
683,34,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2691,10,8,8,4,2,2,No,30-40,"Low Salary",0
684,45,Female,Sales,"Sales Executive",Travel_Frequently,"Life Sciences",4286,1,0,0,1,1,3,Yes,40+,"Low Salary",1
686,26,Female,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",2659,3,0,2,4,3,3,No,"Under 30","Low Salary",0
689,37,Male,"Research & Development","Manufacturing Director",Travel_Rarely,Other,9434,10,7,8,3,3,3,No,30-40,"Medium Salary",0
690,29,Female,Sales,"Sales Executive",Travel_Rarely,Medical,5561,6,1,2,3,2,2,No,"Under 30","Medium Salary",0
691,35,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",6646,17,11,8,4,2,3,No,30-40,"Medium Salary",0
692,33,Male,"Research & Development","Healthcare Representative",Travel_Frequently,"Life Sciences",7725,13,4,7,4,3,1,No,30-40,"Medium Salary",0
698,54,Male,"Human Resources","Human Resources",Travel_Rarely,Medical,10725,9,7,1,2,3,4,No,40+,"High Salary",0
699,36,Male,"Research & Development","Manufacturing Director",Travel_Rarely,Medical,8847,3,0,2,2,2,3,No,30-40,"Medium Salary",0
700,27,Male,"Research & Development","Research Scientist",Travel_Rarely,Medical,2045,4,1,1,4,1,3,No,"Under 30","Low Salary",0
701,20,Male,"Research & Development","Research Scientist",Travel_Rarely,Medical,1009,1,1,1,3,4,3,Yes,"Under 30","Low Salary",1
702,33,Male,"Research & Development","Research Scientist",Travel_Frequently,"Life Sciences",3348,10,9,7,1,1,3,Yes,30-40,"Low Salary",1
704,35,Male,"Research & Development","Laboratory Technician",Non-Travel,"Life Sciences",1281,1,0,0,3,3,3,No,30-40,"Low Salary",0
705,23,Male,"Research & Development","Research Scientist",Travel_Rarely,Medical,2819,3,0,2,1,1,4,No,"Under 30","Low Salary",0
707,25,Male,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",4851,3,1,2,2,4,3,No,"Under 30","Low Salary",0
709,38,Female,Sales,"Sales Executive",Travel_Rarely,Marketing,4028,7,0,5,4,4,3,No,30-40,"Low Salary",0
710,29,Male,"Research & Development","Research Scientist",Travel_Frequently,"Life Sciences",2720,10,2,8,4,2,3,No,"Under 30","Low Salary",0
712,48,Male,Sales,"Sales Executive",Travel_Rarely,Marketing,8120,2,2,2,2,2,3,No,40+,"Medium Salary",0
714,27,Female,Sales,"Sales Executive",Travel_Frequently,Medical,4647,6,0,4,4,4,3,No,"Under 30","Low Salary",0
715,37,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",4680,1,0,0,4,4,3,No,30-40,"Low Salary",0
716,50,Male,"Research & Development","Laboratory Technician",Travel_Rarely,Medical,3221,20,3,8,3,4,3,No,40+,"Low Salary",0
717,34,Female,"Research & Development","Healthcare Representative",Travel_Rarely,Medical,8621,8,7,7,2,4,4,No,30-40,"Medium Salary",0
720,24,Female,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",4577,2,2,0,3,1,3,Yes,"Under 30","Low Salary",1
721,39,Female,"Research & Development","Healthcare Representative",Travel_Rarely,"Technical Degree",4553,20,11,10,3,4,3,No,30-40,"Low Salary",0
722,32,Male,Sales,"Sales Executive",Travel_Rarely,Marketing,5396,10,0,8,4,4,2,No,30-40,"Medium Salary",0
723,50,Male,Sales,"Sales Executive",Travel_Frequently,"Technical Degree",6796,4,1,3,3,2,3,Yes,40+,"Medium Salary",1
724,38,Female,"Research & Development","Healthcare Representative",Travel_Rarely,"Life Sciences",7625,9,1,8,4,2,2,No,30-40,"Medium Salary",0
725,27,Female,"Research & Development","Manufacturing Director",Travel_Rarely,"Life Sciences",7412,9,0,7,1,3,3,No,"Under 30","Medium Salary",0
727,32,Female,"Research & Development","Research Director",Travel_Rarely,"Life Sciences",11159,7,7,7,4,3,3,No,30-40,"High Salary",0
728,47,Male,Sales,"Sales Executive",Travel_Rarely,Marketing,4960,7,1,7,1,4,3,No,40+,"Low Salary",0
729,40,Male,Sales,"Sales Executive",Travel_Frequently,"Life Sciences",10475,18,1,12,1,4,3,No,30-40,"High Salary",0
730,53,Male,"Research & Development","Research Director",Travel_Rarely,"Life Sciences",14814,5,1,3,3,3,3,No,40+,"High Salary",0
731,41,Male,"Human Resources",Manager,Travel_Rarely,"Human Resources",19141,21,12,6,4,2,2,No,40+,"High Salary",0
732,60,Male,Sales,"Sales Executive",Travel_Rarely,Marketing,5405,2,2,2,1,1,3,No,40+,"Medium Salary",0
733,27,Male,"Research & Development","Manufacturing Director",Travel_Frequently,"Life Sciences",8793,9,1,7,1,4,2,No,"Under 30","Medium Salary",0
734,41,Male,"Human Resources",Manager,Travel_Rarely,"Human Resources",19189,22,2,10,3,4,3,No,40+,"High Salary",0
738,50,Male,Sales,"Sales Representative",Travel_Rarely,Marketing,3875,2,2,2,2,4,3,No,40+,"Low Salary",0
741,28,Female,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2216,7,3,7,2,1,3,Yes,"Under 30","Low Salary",1
742,36,Female,"Research & Development","Research Director",Non-Travel,"Life Sciences",11713,8,0,5,1,1,3,No,30-40,"High Salary",0
743,38,Female,"Research & Development","Manufacturing Director",Travel_Rarely,"Life Sciences",7861,1,0,0,3,3,4,No,30-40,"Medium Salary",0
744,44,Male,"Research & Development","Laboratory Technician",Non-Travel,Medical,3708,5,1,4,3,1,3,No,40+,"Low Salary",0
746,47,Female,Sales,"Sales Executive",Travel_Frequently,Medical,13770,22,11,13,3,4,2,No,40+,"High Salary",0
747,30,Male,Sales,"Sales Executive",Travel_Rarely,Marketing,5304,8,7,7,4,3,2,No,30-40,"Medium Salary",0
749,29,Male,Sales,"Sales Representative",Travel_Rarely,"Life Sciences",2642,1,0,0,3,3,3,No,"Under 30","Low Salary",0
752,42,Male,"Research & Development","Research Scientist",Travel_Frequently,Medical,2759,2,2,2,3,3,3,Yes,40+,"Low Salary",1
754,43,Male,Sales,"Sales Executive",Travel_Frequently,"Life Sciences",6804,2,2,2,4,4,3,No,40+,"Medium Salary",0
757,34,Female,"Research & Development","Healthcare Representative",Travel_Rarely,Medical,6142,5,4,3,3,2,3,No,30-40,"Medium Salary",0
758,23,Male,"Research & Development","Laboratory Technician",Travel_Rarely,Medical,2500,4,0,2,1,2,4,No,"Under 30","Low Salary",0
760,39,Female,"Human Resources","Human Resources",Travel_Rarely,"Human Resources",6389,8,3,6,2,3,1,No,30-40,"Medium Salary",0
762,56,Male,"Research & Development","Healthcare Representative",Travel_Rarely,Medical,11103,10,1,1,4,3,2,No,40+,"High Salary",0
763,40,Female,"Research & Development","Research Scientist",Travel_Rarely,Medical,2342,4,2,3,4,4,2,No,30-40,"Low Salary",0
764,27,Female,"Research & Development","Healthcare Representative",Travel_Rarely,Medical,6811,7,0,7,1,4,1,No,"Under 30","Medium Salary",0
766,29,Male,Sales,"Sales Representative",Travel_Rarely,Marketing,2297,2,2,2,2,4,3,No,"Under 30","Low Salary",0
769,53,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",2450,2,2,2,4,4,3,No,40+,"Low Salary",0
771,35,Female,"Research & Development","Healthcare Representative",Non-Travel,"Life Sciences",5093,1,0,0,1,4,4,No,30-40,"Medium Salary",0
772,32,Male,"Research & Development","Laboratory Technician",Travel_Frequently,"Life Sciences",5309,10,4,7,4,1,3,No,30-40,"Medium Salary",0
773,38,Male,"Research & Development","Research Scientist",Travel_Rarely,Medical,3057,1,0,1,3,4,1,No,30-40,"Low Salary",0
775,34,Female,"Research & Development","Manufacturing Director",Travel_Rarely,"Life Sciences",5121,0,0,0,1,2,3,No,30-40,"Medium Salary",0
776,52,Male,Sales,Manager,Travel_Rarely,Marketing,16856,34,1,16,1,3,4,No,40+,"High Salary",0
780,33,Male,"Research & Development","Research Scientist",Travel_Rarely,Other,2686,10,7,8,4,4,2,Yes,30-40,"Low Salary",1
781,25,Female,Sales,"Sales Executive",Travel_Rarely,Medical,6180,6,1,4,4,3,2,No,"Under 30","Medium Salary",0
783,45,Male,Sales,"Sales Representative",Travel_Rarely,"Technical Degree",6632,8,3,1,3,2,3,No,40+,"Medium Salary",0
784,23,Male,"Research & Development","Research Scientist",Travel_Rarely,Medical,3505,2,0,2,3,1,3,No,"Under 30","Low Salary",0
785,47,Female,Sales,"Sales Executive",Travel_Frequently,"Life Sciences",6397,5,1,3,3,2,3,Yes,40+,"Medium Salary",1
786,34,Male,Sales,"Sales Executive",Travel_Rarely,Other,6274,6,1,4,4,4,3,No,30-40,"Medium Salary",0
787,55,Male,"Research & Development",Manager,Travel_Rarely,Medical,19859,5,1,4,1,4,3,Yes,40+,"High Salary",1
789,36,Male,Sales,"Sales Executive",Non-Travel,"Life Sciences",7587,10,0,9,1,1,3,No,30-40,"Medium Salary",0
791,52,Male,"Research & Development","Research Scientist",Non-Travel,Medical,4258,4,1,2,4,4,3,No,40+,"Low Salary",0
792,26,Female,"Research & Development","Laboratory Technician",Travel_Frequently,"Life Sciences",4364,2,2,0,4,1,3,No,"Under 30","Low Salary",0
793,29,Female,"Research & Development","Healthcare Representative",Travel_Rarely,Medical,4335,8,1,1,3,2,2,No,"Under 30","Low Salary",0
796,26,Male,Sales,"Sales Executive",Travel_Rarely,"Technical Degree",5326,4,1,2,1,4,2,Yes,"Under 30","Medium Salary",1
797,34,Female,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",3280,4,1,3,4,2,3,No,30-40,"Low Salary",0
799,54,Female,"Research & Development","Manufacturing Director",Travel_Rarely,Medical,5485,5,1,4,1,4,3,No,40+,"Medium Salary",0
800,27,Male,Sales,"Sales Executive",Travel_Frequently,Marketing,4342,4,1,1,4,3,3,No,"Under 30","Low Salary",0
802,37,Female,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2782,5,4,3,1,4,2,No,30-40,"Low Salary",0
803,38,Female,"Research & Development","Manufacturing Director",Travel_Frequently,"Life Sciences",5980,15,4,12,1,1,3,No,30-40,"Medium Salary",0
804,34,Female,"Research & Development","Research Scientist",Travel_Rarely,Medical,4381,6,1,3,1,3,3,No,30-40,"Low Salary",0
805,35,Female,Sales,"Sales Representative",Travel_Rarely,"Life Sciences",2572,3,0,2,4,1,2,No,30-40,"Low Salary",0
806,30,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",3833,2,0,2,3,4,3,No,30-40,"Low Salary",0
807,40,Female,"Research & Development","Healthcare Representative",Travel_Frequently,Medical,4244,8,3,7,2,3,3,No,30-40,"Low Salary",0
808,34,Female,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",6500,3,1,2,1,3,3,No,30-40,"Medium Salary",0
809,42,Male,"Research & Development",Manager,Travel_Frequently,"Life Sciences",18430,24,14,9,4,2,2,No,40+,"High Salary",0
811,23,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",1601,0,0,0,1,3,3,Yes,"Under 30","Low Salary",1
812,24,Male,"Research & Development","Laboratory Technician",Non-Travel,"Life Sciences",2694,1,0,0,2,3,3,No,"Under 30","Low Salary",0
813,52,Female,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",3149,5,1,4,3,4,3,No,40+,"Low Salary",0
815,50,Male,"Research & Development","Research Director",Travel_Rarely,Medical,17639,4,0,3,3,3,3,No,40+,"High Salary",0
816,29,Female,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",2319,1,0,0,1,2,3,Yes,"Under 30","Low Salary",1
817,33,Male,"Research & Development","Research Director",Travel_Rarely,Medical,11691,13,3,7,3,3,4,No,30-40,"High Salary",0
819,33,Female,Sales,"Sales Executive",Travel_Rarely,Marketing,5324,3,0,2,1,1,3,Yes,30-40,"Medium Salary",1
820,47,Female,"Research & Development",Manager,Travel_Rarely,Other,16752,26,3,0,4,3,2,No,40+,"High Salary",0
823,36,Female,"Research & Development","Manufacturing Director",Travel_Rarely,Other,5228,9,0,5,2,3,3,No,30-40,"Medium Salary",0
824,29,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2700,10,0,7,3,3,3,No,"Under 30","Low Salary",0
825,58,Male,"Research & Development","Research Director",Travel_Rarely,"Life Sciences",19246,31,13,8,2,4,3,Yes,40+,"High Salary",1
826,35,Female,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2506,2,2,2,3,4,3,No,30-40,"Low Salary",0
827,42,Female,"Research & Development","Manufacturing Director",Travel_Rarely,"Life Sciences",6062,4,0,2,4,4,3,No,40+,"Medium Salary",0
828,28,Male,"Research & Development","Research Scientist",Travel_Rarely,Medical,4382,2,2,1,3,3,2,Yes,"Under 30","Low Salary",1
829,36,Male,"Human Resources","Human Resources",Travel_Rarely,"Human Resources",2143,5,0,4,2,3,3,No,30-40,"Low Salary",0
830,32,Female,"Research & Development","Manufacturing Director",Travel_Rarely,"Life Sciences",6162,14,6,8,3,3,3,No,30-40,"Medium Salary",0
832,40,Male,"Research & Development","Laboratory Technician",Travel_Frequently,Medical,5094,1,0,0,3,1,3,No,30-40,"Medium Salary",0
833,30,Female,"Research & Development","Manufacturing Director",Travel_Rarely,Medical,6877,0,0,0,4,3,2,No,30-40,"Medium Salary",0
834,45,Female,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2274,1,0,0,3,2,3,No,40+,"Low Salary",0
836,42,Male,"Research & Development","Manufacturing Director",Travel_Rarely,"Life Sciences",4434,9,7,8,2,2,2,No,40+,"Low Salary",0
837,38,Male,"Research & Development","Healthcare Representative",Travel_Frequently,"Life Sciences",6288,4,1,2,1,1,2,No,30-40,"Medium Salary",0
838,34,Female,"Research & Development","Research Scientist",Travel_Frequently,"Life Sciences",2553,5,1,3,4,3,3,No,30-40,"Low Salary",0
840,49,Female,Sales,"Sales Executive",Travel_Rarely,Marketing,7654,9,7,7,4,3,4,Yes,40+,"Medium Salary",1
842,55,Male,Sales,"Sales Executive",Travel_Rarely,Medical,5160,9,7,3,4,3,2,Yes,40+,"Medium Salary",1
843,43,Male,"Research & Development","Research Director",Travel_Rarely,"Life Sciences",17159,4,1,0,1,2,3,No,40+,"High Salary",0
844,27,Male,"Research & Development","Research Director",Travel_Rarely,"Technical Degree",12808,9,0,8,4,3,3,No,"Under 30","High Salary",0
845,35,Male,"Research & Development","Manufacturing Director",Travel_Rarely,Other,10221,8,1,6,3,3,4,No,30-40,"High Salary",0
846,28,Female,Sales,"Sales Executive",Travel_Rarely,Marketing,4779,8,7,5,2,2,3,No,"Under 30","Low Salary",0
847,34,Male,"Human Resources","Human Resources",Travel_Rarely,"Human Resources",3737,3,0,2,4,3,1,No,30-40,"Low Salary",0
848,26,Female,"Research & Development","Research Scientist",Travel_Frequently,Medical,2366,8,1,7,3,3,3,Yes,"Under 30","Low Salary",1
850,27,Male,"Research & Development","Research Scientist",Non-Travel,Medical,1706,0,0,0,4,4,2,No,"Under 30","Low Salary",0
851,51,Female,Sales,Manager,Travel_Rarely,Marketing,16307,20,4,17,3,1,2,No,40+,"High Salary",0
852,44,Male,"Research & Development","Healthcare Representative",Travel_Rarely,Medical,5933,5,2,3,2,4,2,No,40+,"Medium Salary",0
854,25,Male,"Research & Development","Research Scientist",Travel_Rarely,Medical,3424,4,0,1,1,1,2,No,"Under 30","Low Salary",0
855,33,Male,Sales,"Sales Executive",Travel_Rarely,Medical,4037,9,0,8,1,1,3,No,30-40,"Low Salary",0
856,35,Female,"Research & Development","Research Scientist",Travel_Rarely,Medical,2559,6,1,1,1,3,2,No,30-40,"Low Salary",0
857,36,Male,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",6201,18,4,11,4,2,2,No,30-40,"Medium Salary",0
859,32,Male,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",4403,5,0,3,4,2,2,No,30-40,"Low Salary",0
861,30,Male,"Research & Development","Research Scientist",Travel_Frequently,"Life Sciences",3761,5,0,3,4,2,2,No,30-40,"Low Salary",0
862,53,Female,Sales,"Sales Executive",Travel_Rarely,Marketing,10934,5,0,4,4,1,3,No,40+,"High Salary",0
864,45,Male,Sales,"Sales Executive",Travel_Rarely,Marketing,10761,5,0,2,1,4,3,No,40+,"High Salary",0
865,32,Female,"Research & Development","Research Scientist",Travel_Rarely,Medical,5175,5,1,3,3,3,2,No,30-40,"Medium Salary",0
